Gate Type,Fan-In,Fan-Out,Total Gate Count,Critical Path,Logic Depth
NAND,3,3,15039,6,4
NOT,2,1,21240,9,7
AND,4,3,20842,9,3
XOR,3,2,21244,9,5
AND,3,1,23874,9,4
XOR,4,2,17415,5,8
NAND,3,3,23053,6,8
NOT,1,4,16360,8,5
NOT,1,4,15643,6,8
OR,1,2,16278,8,3
AND,1,2,19899,9,3
XOR,4,3,23248,10,5
AND,2,4,24857,9,3
OR,2,2,17145,6,4
OR,5,2,17531,7,3
NOT,5,2,18358,8,4
XOR,4,3,21417,7,6
AND,4,1,20190,7,6
NAND,2,1,18306,7,8
NAND,2,3,15051,6,6
XOR,1,4,23756,8,6
AND,2,4,18300,8,9
NAND,2,1,15985,10,9
XOR,3,2,23094,8,5
AND,4,2,15329,9,3
NOT,3,1,20775,5,4
NOT,2,3,22491,5,6
NOT,5,3,16432,10,9
NAND,4,1,23815,7,4
XOR,1,4,21902,5,3
NOT,5,2,19455,10,3
XOR,4,1,21976,10,4
XOR,5,4,21054,7,8
AND,4,2,17594,5,9
AND,5,1,21896,9,4
NOT,2,1,20428,6,4
NAND,1,3,20040,9,4
OR,5,4,23644,10,4
AND,5,3,21762,7,7
NAND,2,1,15156,10,6
NOT,1,2,23940,10,7
AND,4,3,22084,9,8
NOT,4,2,18836,6,6
XOR,4,2,24569,6,6
XOR,3,4,23832,6,6
XOR,1,4,20326,8,7
AND,4,4,21588,7,8
AND,1,4,24171,6,9
NOT,3,2,18254,7,3
XOR,5,3,23876,9,4
AND,2,3,15991,9,8
NOT,4,2,24283,6,9
NOT,2,1,15121,7,3
NOT,5,4,19809,6,6
AND,2,2,24847,9,7
AND,3,1,23540,9,3
OR,1,1,23570,10,9
NAND,1,3,21516,10,9
XOR,4,4,16194,5,6
NOT,3,2,21594,5,5
NOT,5,4,23093,7,7
OR,3,2,23950,6,6
XOR,1,3,15591,8,8
XOR,3,4,19451,8,6
AND,2,4,18767,5,3
AND,4,1,19643,7,6
NAND,1,2,20842,7,9
NOT,3,4,21800,9,4
XOR,3,1,16924,7,9
NOT,1,3,15431,10,3
AND,2,1,15371,5,5
AND,4,3,20276,8,9
NOT,4,4,24533,8,5
AND,1,3,18037,10,7
OR,5,3,20613,8,5
OR,2,1,22848,9,5
NAND,4,4,23584,5,3
XOR,1,3,23351,5,9
OR,4,1,24368,7,4
OR,4,2,22133,8,7
OR,2,4,21333,5,6
XOR,5,2,22765,8,6
AND,3,2,20683,5,5
AND,2,2,22620,9,8
NAND,3,3,21969,7,7
NAND,3,3,18716,10,3
AND,1,1,16279,9,7
OR,4,2,16223,7,7
AND,1,1,17528,10,6
OR,4,4,19798,7,7
AND,3,3,15368,8,4
NOT,5,3,16501,7,4
XOR,2,2,19742,5,3
NOT,5,4,20926,9,4
NOT,1,2,15332,8,6
OR,5,3,17451,7,4
NOT,3,1,24151,8,5
NAND,1,1,20623,8,5
NAND,4,2,16275,8,5
AND,1,2,24595,7,6
XOR,3,2,18256,8,6
AND,3,2,24404,5,7
NOT,3,1,16787,6,4
AND,5,2,24822,9,3
XOR,5,4,20944,10,7
NAND,5,1,19331,10,5
XOR,4,3,17377,10,6
AND,2,3,21911,5,5
NAND,1,1,15057,9,7
XOR,3,1,21645,5,4
NAND,2,2,18351,8,8
NAND,1,3,23788,5,5
NOT,1,3,22213,8,8
XOR,2,3,21005,6,7
XOR,5,1,19821,6,9
AND,2,1,15709,8,4
AND,4,1,21714,6,5
AND,5,2,15352,10,9
OR,2,2,15117,5,6
AND,3,1,16025,6,4
AND,1,3,15741,6,9
XOR,2,3,23142,5,7
NAND,2,3,17436,9,4
OR,3,4,23673,10,9
NAND,1,4,20854,8,6
XOR,5,1,21304,7,3
NAND,4,3,22278,6,5
AND,1,1,18184,5,9
XOR,3,3,17456,5,8
AND,4,1,15133,10,9
AND,5,2,18210,9,5
NOT,5,1,15719,10,8
NAND,4,1,21037,8,4
OR,2,3,23475,10,6
NAND,3,1,19899,7,8
NOT,4,4,16674,6,8
AND,5,3,19891,6,8
AND,2,4,23462,9,6
AND,3,4,18789,7,4
OR,5,2,19423,6,4
AND,4,1,24973,9,3
AND,2,1,19130,10,4
NAND,1,1,19284,8,8
AND,5,4,19778,8,5
AND,1,3,17337,10,9
NAND,4,2,18590,7,4
AND,3,3,16375,5,6
NAND,1,1,18346,5,3
XOR,1,4,16654,7,3
OR,2,1,17699,9,7
NOT,3,4,23320,10,4
AND,4,3,24228,8,4
AND,3,1,22792,8,9
XOR,4,1,21388,9,8
XOR,1,1,15945,7,9
NOT,4,3,22881,10,3
NAND,4,2,16725,10,8
OR,5,4,16680,6,3
OR,1,4,21751,5,4
XOR,3,2,24601,10,6
OR,5,3,16990,8,4
XOR,3,1,15470,8,4
OR,4,4,17110,7,6
NAND,1,2,17178,9,5
AND,1,4,23226,8,8
NAND,1,1,18830,6,6
OR,4,3,23870,9,6
NAND,1,2,22764,6,8
XOR,5,2,21323,7,3
AND,2,3,21217,7,8
OR,2,4,16969,5,7
AND,1,4,23419,5,3
OR,5,4,15822,10,7
NOT,1,3,21635,9,3
NOT,5,2,16636,10,4
OR,1,3,19806,6,9
NOT,1,4,17841,9,3
XOR,4,4,18126,7,8
XOR,3,2,18381,10,3
NOT,3,2,21503,9,3
NAND,1,4,24078,5,3
NAND,4,3,17795,10,6
AND,3,4,20955,7,4
XOR,1,4,16908,8,5
XOR,3,3,21944,7,8
XOR,3,3,18111,8,3
OR,4,2,18855,7,3
OR,3,1,24184,5,5
NOT,5,4,15322,8,9
NOT,3,2,18154,9,5
XOR,2,4,21899,7,8
XOR,5,2,23189,5,4
OR,3,1,19639,7,8
XOR,3,4,22590,10,7
XOR,1,2,16405,9,5
AND,4,1,21965,6,7
OR,3,2,22706,5,7
NAND,3,4,15164,8,9
OR,2,3,24645,8,7
NOT,2,1,23642,9,9
NAND,5,3,15397,8,7
AND,4,2,16606,10,4
NOT,4,3,23456,8,7
NAND,5,1,24198,6,3
NAND,4,4,18899,10,5
AND,3,1,17649,10,9
NOT,5,3,15674,10,5
AND,2,3,17811,8,3
NAND,2,2,16316,10,3
OR,5,1,23485,9,8
XOR,5,3,17597,8,7
XOR,3,3,20867,7,9
AND,3,3,24357,7,9
NAND,3,2,23508,5,3
XOR,3,3,22397,9,9
XOR,2,3,24417,7,9
AND,5,3,18031,5,3
XOR,1,3,23165,6,7
AND,1,4,15913,5,7
NOT,5,2,23274,6,6
OR,5,2,20754,5,3
NOT,2,3,17187,5,6
NAND,4,4,16986,10,4
OR,1,1,23888,10,7
NOT,5,3,16648,5,8
NOT,4,3,20518,7,3
NAND,1,3,21961,8,4
NAND,1,4,24434,10,4
AND,1,3,23480,6,3
OR,5,2,24759,6,9
OR,3,1,20795,8,4
NOT,1,4,18377,7,6
NOT,5,3,19283,10,5
OR,2,3,17680,8,9
NOT,3,2,17260,5,9
NAND,1,1,24716,9,7
AND,3,1,21009,10,3
NAND,4,1,15785,7,5
NOT,3,4,21773,6,3
NAND,4,2,20807,8,4
XOR,3,1,16790,8,6
OR,2,2,18813,7,4
XOR,1,4,18517,9,8
NAND,1,2,19494,8,6
NOT,3,1,20154,7,6
XOR,2,2,24809,9,4
XOR,4,2,24525,7,5
NAND,3,3,23220,10,8
AND,5,3,24036,10,3
NAND,4,2,17923,7,9
NOT,3,4,18090,10,9
NOT,1,3,17396,9,6
NOT,4,4,16353,9,5
NOT,2,2,22605,7,8
AND,3,4,18115,10,9
AND,3,4,17562,8,4
XOR,5,3,22052,9,5
NAND,5,4,21834,10,6
OR,1,2,17043,5,4
XOR,3,1,22291,7,8
NAND,2,1,20033,8,8
AND,2,2,17451,5,6
XOR,3,3,22109,6,3
XOR,4,3,15567,8,8
NAND,4,3,24162,8,4
AND,3,3,22698,9,6
OR,5,4,23533,7,3
XOR,1,3,19906,8,3
XOR,1,2,18988,7,3
NAND,1,2,17353,9,6
AND,1,3,19895,7,5
OR,4,4,20848,10,4
NAND,3,2,18338,5,9
OR,4,1,23058,6,9
AND,1,2,21866,5,8
AND,3,2,19697,9,3
XOR,1,1,22409,6,3
XOR,2,3,21882,9,8
OR,4,4,17611,5,5
OR,5,3,21871,10,8
XOR,2,2,17448,7,9
AND,1,4,15924,9,4
OR,1,4,17444,8,7
NOT,3,2,20524,8,6
AND,2,2,23951,5,3
AND,4,3,18545,5,6
NOT,2,4,24494,5,9
NAND,2,1,21708,5,5
XOR,4,3,24200,10,5
NAND,3,3,22763,5,7
OR,4,3,23710,5,5
AND,2,1,20230,6,3
XOR,2,2,21500,8,3
OR,2,4,18801,7,8
AND,3,2,19269,9,3
NOT,1,4,15097,10,9
NAND,5,3,15667,6,9
AND,5,4,23855,6,4
AND,1,3,15267,9,6
AND,5,3,23929,9,3
NOT,5,1,21085,6,6
NAND,3,2,23044,8,7
NAND,4,2,16176,6,6
NOT,3,2,17149,6,5
OR,4,4,19536,9,8
NAND,3,1,23320,6,6
AND,2,1,17341,8,9
NOT,5,4,21641,10,6
NOT,3,3,18210,9,4
NOT,1,3,17549,5,5
OR,4,3,18200,9,7
NAND,5,2,22903,7,3
OR,3,1,24512,10,5
NAND,4,2,19918,8,9
OR,3,4,18116,5,9
NAND,4,1,16628,8,8
AND,4,1,22020,9,5
OR,2,2,17551,7,5
OR,1,4,24499,8,7
NOT,4,3,23648,10,3
NOT,4,1,19773,9,3
OR,1,1,15054,7,9
XOR,5,4,16083,6,9
OR,5,2,20063,10,5
NAND,3,1,21347,5,3
NAND,2,3,15181,9,3
NAND,1,4,20339,7,5
NOT,5,4,17833,7,6
AND,1,1,18798,10,8
NOT,5,4,18982,10,7
XOR,3,4,24617,9,3
AND,3,4,20998,6,3
AND,2,2,24119,5,6
AND,1,4,21211,10,8
XOR,4,4,24949,9,3
XOR,2,2,22606,7,7
OR,2,3,17839,10,9
NOT,2,1,15204,6,9
XOR,4,2,23727,5,8
AND,3,2,16099,9,7
OR,2,3,18343,5,7
NAND,1,1,24432,8,7
NOT,4,1,24439,9,8
NOT,1,2,24931,7,3
NAND,4,4,18583,6,5
NOT,2,1,20924,6,3
NAND,4,4,18173,9,8
XOR,3,1,24540,6,3
XOR,4,2,23323,10,8
AND,4,3,17966,7,6
AND,2,4,23389,10,3
OR,2,1,19261,8,3
AND,1,2,18795,10,3
AND,4,2,16713,5,3
NOT,5,4,20015,6,7
NOT,5,3,17673,5,3
AND,5,2,24661,8,6
NOT,3,4,16316,5,7
OR,5,4,24492,5,9
OR,4,4,19655,8,8
OR,4,1,19993,7,8
OR,3,4,22777,5,4
AND,5,4,17266,7,7
AND,2,3,15923,5,4
XOR,4,4,23713,7,6
NOT,4,2,15036,8,7
AND,1,2,23200,8,3
OR,1,2,19883,6,4
AND,1,2,23972,5,3
AND,3,2,21818,8,3
XOR,1,3,19119,5,4
XOR,3,1,24213,8,8
NAND,4,1,22977,7,6
NOT,4,3,24285,5,6
NAND,3,2,18457,5,6
AND,5,3,22821,8,4
OR,2,2,24242,8,9
NOT,4,3,21910,5,7
XOR,2,2,20495,5,3
NAND,5,3,21574,5,7
OR,1,1,23435,7,6
NAND,3,3,23509,9,3
XOR,5,4,23754,5,4
NOT,1,1,18854,9,9
NAND,2,1,21440,7,6
NAND,4,2,19031,8,5
XOR,5,2,18914,5,7
OR,3,2,23021,10,8
NOT,4,2,20834,5,5
NOT,1,3,21686,5,6
NOT,2,4,18646,10,8
XOR,3,3,24688,6,8
NOT,2,1,22332,7,5
NOT,1,4,23328,5,9
NAND,1,1,15059,5,5
XOR,4,2,21088,8,8
AND,5,3,15959,8,4
NAND,3,1,20224,5,4
AND,2,1,16846,6,3
XOR,2,2,19429,7,7
OR,4,1,24254,5,7
OR,2,4,17995,7,5
NOT,3,4,18958,7,7
XOR,3,2,15095,8,8
XOR,4,3,24222,8,5
NAND,3,4,24242,10,5
XOR,2,1,22515,6,9
NOT,5,2,19337,10,9
XOR,2,3,23684,5,7
XOR,3,4,18805,5,9
NOT,2,4,15739,5,9
AND,5,4,15393,8,6
NOT,5,3,18386,5,3
AND,1,3,19740,9,4
NAND,3,3,16565,8,9
NAND,1,1,21203,8,9
NAND,3,1,17885,10,7
XOR,3,2,21638,6,5
XOR,2,2,17355,8,5
XOR,2,4,17621,8,3
NAND,5,2,19705,10,6
XOR,2,3,23009,8,5
XOR,2,3,21461,7,6
XOR,4,4,17910,9,5
XOR,4,4,15892,9,7
OR,5,1,23933,7,9
OR,5,3,22563,7,5
OR,4,2,19696,9,7
OR,5,1,24528,9,5
NOT,2,3,22232,8,9
NOT,4,1,18012,7,5
XOR,1,4,22225,6,4
AND,5,2,17790,9,9
XOR,5,4,21546,8,3
NAND,1,1,24325,5,8
NOT,4,1,18391,8,5
NOT,5,4,17542,7,6
NAND,4,1,22381,6,4
NOT,1,4,21407,8,4
NAND,1,1,19315,9,5
NOT,4,1,23478,8,5
XOR,2,1,19727,6,9
NOT,3,3,21276,5,7
NOT,4,4,23389,6,8
OR,2,3,20030,5,9
NAND,2,2,21924,8,7
AND,2,2,19537,6,8
NAND,4,3,18823,5,8
AND,1,3,22786,6,7
OR,2,1,16142,6,3
NAND,1,4,17787,5,6
AND,2,3,21894,8,8
OR,4,2,24785,8,7
NAND,5,3,19150,5,5
NOT,2,3,16771,10,5
NAND,3,3,20521,8,8
NOT,2,1,16856,6,5
OR,2,2,17227,5,8
OR,5,3,15056,5,5
OR,3,2,17146,10,5
NOT,1,1,18748,5,4
NOT,5,3,18906,8,7
NAND,2,4,20638,5,3
OR,1,2,16400,8,5
AND,5,3,19522,5,5
XOR,5,4,20579,7,8
NAND,1,1,21730,10,8
XOR,4,2,23667,9,6
NOT,4,1,17018,7,9
AND,5,3,16826,5,3
XOR,5,2,16418,9,3
NAND,5,4,20369,8,6
NAND,4,2,21706,8,7
AND,4,3,24787,7,5
OR,1,3,16083,10,4
NOT,3,2,17213,8,8
OR,3,2,24071,5,3
NOT,4,4,22856,7,8
NAND,2,4,18766,8,4
NAND,3,1,17328,5,3
AND,5,4,23374,8,8
NAND,4,2,18154,6,5
OR,3,2,16637,10,6
NAND,5,3,16857,6,3
NOT,2,4,19513,5,3
OR,2,3,19321,10,9
XOR,3,1,15507,5,6
NAND,3,1,23151,10,8
AND,3,2,22084,9,6
NAND,2,3,15192,6,5
NOT,5,3,24163,8,3
NAND,2,1,21445,10,9
NAND,1,3,22979,8,4
NOT,3,1,16698,6,7
XOR,5,4,15111,7,6
OR,3,2,24691,6,7
XOR,2,1,18102,10,6
NAND,3,3,15158,9,4
OR,4,4,18860,10,8
NAND,1,3,22142,9,3
NOT,3,1,16231,7,4
NOT,2,4,23097,7,9
NAND,2,1,20134,7,7
AND,1,3,16929,8,4
AND,3,1,23015,10,3
XOR,2,4,17703,6,7
NAND,2,4,15592,10,6
NOT,5,3,18031,8,5
NOT,1,4,18488,6,8
OR,3,2,16220,10,8
OR,2,2,20323,10,8
NAND,5,1,19253,8,9
NAND,4,1,15135,7,5
AND,5,1,23547,7,4
OR,3,1,23372,6,5
AND,4,4,18409,9,4
XOR,5,3,17893,7,5
AND,1,3,19242,7,4
OR,2,3,22606,6,5
OR,2,4,17402,9,9
AND,2,4,24290,7,6
OR,1,4,21195,9,9
AND,3,2,23221,6,9
NOT,2,4,15850,10,9
XOR,2,4,20597,7,3
OR,2,4,22716,10,7
XOR,4,2,19581,7,3
OR,3,4,23029,7,4
NAND,2,2,19435,5,7
NOT,3,3,23319,6,8
XOR,4,4,19160,6,9
NOT,3,3,24765,10,9
NAND,3,2,22036,5,7
AND,1,3,16392,5,7
NOT,3,3,19986,10,6
NOT,4,3,19227,10,7
NOT,2,3,16661,8,3
NAND,2,2,19676,5,9
XOR,2,3,22296,5,4
NOT,2,1,22838,6,3
OR,2,3,22517,10,3
NAND,4,3,21337,7,3
NAND,1,2,16084,7,7
XOR,5,2,24340,6,7
AND,4,1,22425,6,4
XOR,1,1,17784,6,7
NAND,2,3,22497,6,7
AND,5,3,19535,8,8
OR,2,4,21097,7,6
NAND,3,2,18444,5,4
AND,5,2,21439,9,7
OR,5,1,24187,6,3
OR,3,1,18179,8,9
XOR,5,4,19321,8,3
XOR,2,2,20293,8,4
NAND,5,1,22215,9,6
AND,1,2,24365,9,5
AND,3,4,17604,9,7
AND,3,1,19396,10,3
NAND,1,4,18709,9,4
OR,3,2,21797,10,4
OR,5,4,15091,7,7
NAND,3,2,19765,7,7
NAND,3,4,18124,10,5
AND,2,4,21462,10,6
XOR,1,2,16602,10,9
NOT,3,2,18798,8,4
XOR,1,2,15602,5,4
OR,2,3,15295,8,5
NOT,2,3,23874,10,9
NOT,5,1,15028,7,9
NAND,4,3,23978,8,3
XOR,4,3,24767,8,4
OR,5,3,24150,6,4
XOR,5,3,19318,6,8
OR,1,4,23335,8,4
OR,4,3,17498,8,7
OR,2,2,20791,10,3
NOT,2,4,22752,8,5
OR,4,2,21461,6,5
NOT,1,2,16436,5,9
OR,2,2,15813,10,8
NOT,2,3,23322,6,7
XOR,3,1,22851,10,5
NOT,2,1,16446,8,9
XOR,2,2,17620,5,6
OR,1,2,17426,7,7
AND,1,1,17813,5,4
NAND,4,3,21546,10,9
XOR,1,2,23373,6,9
XOR,2,1,23657,6,7
XOR,1,1,21541,9,9
OR,2,2,20752,6,5
NOT,5,3,16242,9,3
AND,3,1,21614,9,4
OR,2,2,20179,8,4
NOT,5,2,17775,8,6
XOR,2,1,21556,7,5
NOT,5,1,20313,6,9
AND,4,2,15071,7,3
XOR,5,3,22664,7,4
NOT,1,1,23261,7,7
AND,5,4,17381,6,8
AND,4,4,24696,7,3
XOR,2,1,20415,7,6
NOT,4,4,22386,9,7
XOR,2,4,23577,7,4
NOT,3,4,17208,7,5
NOT,4,3,24623,8,7
OR,5,3,19602,8,8
NAND,1,4,16817,10,7
OR,1,4,22670,7,4
NAND,3,4,22494,7,3
NAND,5,4,22337,5,8
NAND,4,4,20174,10,7
AND,1,2,18151,7,7
OR,4,4,18423,9,5
NOT,2,3,24955,6,4
AND,4,2,20107,9,6
AND,1,4,21730,8,7
XOR,2,4,20647,8,9
NAND,3,2,18456,6,5
NOT,3,2,17818,6,4
AND,2,4,18122,7,8
XOR,1,2,24609,9,7
AND,4,4,24755,5,7
OR,3,1,19572,7,3
NAND,5,4,17655,5,7
AND,5,1,16246,5,9
NOT,5,2,19197,7,8
OR,1,2,19574,8,6
AND,5,2,23238,10,8
XOR,1,2,24131,5,3
OR,1,4,17975,10,8
XOR,4,1,20879,8,5
AND,2,2,22904,6,3
AND,3,1,16275,6,8
XOR,2,2,16896,5,4
NAND,1,2,17328,5,8
NAND,4,4,18753,7,9
NAND,3,2,24816,9,8
OR,3,1,23112,5,7
NAND,4,4,21894,6,5
XOR,1,4,19972,8,8
NOT,3,3,15948,7,5
NOT,2,1,18839,8,9
OR,3,1,21615,7,6
NOT,4,1,18046,7,5
NAND,2,3,24024,5,4
OR,5,2,19744,5,7
AND,2,3,20910,8,9
XOR,1,2,24514,10,8
NAND,5,3,24626,5,7
XOR,5,2,23165,10,3
AND,1,2,17822,10,5
NOT,4,2,16776,9,6
NAND,4,4,16497,7,3
AND,4,1,24878,8,9
OR,5,1,18929,7,9
AND,2,1,16367,8,3
OR,4,1,22375,5,4
OR,2,3,24057,6,9
NAND,5,1,15893,6,3
OR,4,3,16083,6,4
OR,2,1,18643,5,4
NAND,4,2,22145,5,5
AND,4,4,17883,9,9
XOR,5,2,19663,5,8
NOT,2,1,20098,6,7
AND,4,3,15364,10,4
XOR,3,1,17002,5,5
NAND,3,1,20754,10,7
XOR,5,4,19828,9,5
XOR,3,2,24824,7,8
OR,1,1,17400,6,5
AND,3,2,22909,5,8
AND,2,1,22618,10,4
NOT,2,1,24591,7,5
AND,2,3,15425,5,8
AND,1,1,16890,10,5
NOT,2,3,24638,5,9
AND,3,3,17487,8,6
OR,3,3,18587,5,5
OR,3,3,23913,6,7
NOT,5,3,24624,7,7
NOT,3,3,15520,9,3
XOR,5,1,15905,7,4
XOR,4,3,18533,6,3
NOT,4,2,16479,7,5
OR,3,3,20656,10,4
OR,1,1,17142,5,8
AND,3,4,21690,6,8
XOR,4,3,17799,7,7
XOR,3,2,20040,10,3
XOR,5,3,24497,6,5
OR,1,2,17731,8,6
NAND,1,3,18961,7,7
AND,3,1,21403,5,8
NOT,1,1,22736,8,6
AND,4,4,20653,6,5
NOT,2,1,22236,5,7
NAND,3,4,15907,8,8
NOT,4,4,20755,10,6
AND,3,3,17412,7,7
NAND,2,4,15932,6,4
AND,5,4,15489,7,3
NAND,2,4,15257,7,8
NAND,5,4,22883,6,9
NOT,2,3,22804,7,7
AND,2,1,17940,6,7
NOT,5,4,18010,9,9
XOR,3,4,15479,5,8
XOR,4,1,19676,5,4
NOT,3,3,16929,5,9
NAND,2,4,15522,7,7
NAND,5,4,24701,7,4
NOT,1,4,23752,7,8
AND,3,4,20808,5,9
NAND,4,4,23355,6,8
XOR,1,2,15074,9,9
XOR,3,1,21340,10,5
OR,2,4,17008,5,7
XOR,5,1,18527,6,4
XOR,5,2,17695,5,5
NAND,5,1,21953,10,7
NOT,3,2,19280,7,4
XOR,1,4,15714,5,3
XOR,4,2,23042,10,8
OR,2,4,24354,10,5
XOR,1,3,15045,6,9
OR,4,2,21116,8,3
AND,2,4,21277,9,8
OR,3,3,23889,8,4
XOR,5,1,18852,7,8
XOR,5,4,24183,8,3
XOR,5,3,15917,9,3
OR,4,4,21298,6,6
NAND,3,2,18745,8,3
XOR,3,4,22816,5,3
XOR,5,3,24059,9,8
XOR,2,3,20907,5,3
AND,5,1,20981,10,4
OR,3,2,16117,9,3
NAND,5,2,22274,7,4
AND,3,4,23585,7,4
NOT,4,2,20622,10,7
AND,3,1,23967,6,9
XOR,5,4,20541,8,3
AND,1,3,19744,8,5
NAND,3,3,18186,8,5
NOT,5,1,15000,5,5
NAND,4,2,18041,6,7
XOR,3,1,24983,10,9
XOR,5,2,18944,5,4
AND,5,1,24029,8,4
AND,3,2,22559,5,7
NOT,1,3,20486,9,3
NAND,2,3,16712,9,6
NOT,5,3,21629,10,3
NAND,1,1,24692,9,7
XOR,3,1,24554,8,4
NOT,3,2,22529,8,9
XOR,5,1,23823,5,5
XOR,4,4,16194,9,3
NOT,3,1,24076,9,5
OR,3,3,16641,10,5
XOR,1,4,23641,8,3
XOR,2,1,22022,7,6
NOT,1,2,23949,6,6
XOR,5,4,18371,5,3
AND,5,4,18899,8,9
AND,1,4,18854,7,9
AND,5,4,23674,5,6
OR,1,2,18790,9,4
AND,5,3,17721,5,3
OR,3,4,19487,5,5
XOR,5,2,20406,6,4
XOR,3,1,16563,5,9
NAND,2,4,20235,5,9
OR,3,2,17260,6,9
OR,2,2,21366,8,4
XOR,1,2,23182,10,5
NOT,1,2,21447,8,3
NAND,1,1,22587,7,6
XOR,1,1,22687,9,4
OR,1,1,16576,5,7
OR,1,2,22294,7,6
NOT,4,1,21735,5,6
NOT,3,1,18542,10,6
NAND,3,4,22423,10,5
NAND,4,1,15809,8,3
OR,3,4,20240,7,8
XOR,2,1,17516,9,8
NAND,5,4,21635,8,8
XOR,5,3,18746,5,8
NAND,4,3,19910,10,6
OR,4,1,16275,10,3
AND,2,4,15277,8,9
OR,2,2,15358,5,6
NAND,2,1,16886,10,6
OR,4,3,24367,6,7
NAND,3,1,19566,5,6
NOT,4,1,23015,8,6
NOT,4,3,18082,10,7
NOT,1,4,23333,7,9
AND,1,4,20929,8,3
NAND,3,1,19452,10,9
AND,2,3,21143,5,8
OR,3,1,22124,7,7
NAND,1,4,22335,7,9
OR,5,2,18007,7,9
OR,4,1,24046,7,6
NAND,3,2,16168,9,4
NAND,4,1,19884,10,4
NAND,2,1,15514,10,8
AND,3,2,16662,8,3
AND,4,1,16203,8,5
NOT,3,1,15911,6,5
NAND,3,4,19329,5,6
OR,5,3,24760,8,6
NOT,4,3,19744,10,7
AND,2,1,22539,6,9
OR,3,3,17302,7,9
OR,2,3,22483,6,9
XOR,2,2,15714,7,5
XOR,2,2,18906,7,4
AND,3,3,21306,8,3
AND,5,1,15456,5,5
AND,2,1,21178,7,5
NAND,4,4,17955,7,5
AND,2,3,23852,6,4
XOR,2,4,24071,8,4
AND,1,4,21014,7,3
AND,5,3,15874,10,4
NOT,2,3,19337,8,7
AND,5,1,22646,9,5
NAND,5,4,22072,8,9
OR,4,4,23511,9,9
NAND,3,3,22991,5,7
NOT,4,4,16074,7,3
AND,4,3,22154,5,6
XOR,1,2,20734,9,3
NAND,2,2,18178,9,5
AND,4,2,16000,9,8
XOR,3,4,15296,7,8
OR,4,4,18658,6,9
AND,2,4,23620,8,5
AND,1,1,23897,8,7
NOT,1,4,23972,5,9
XOR,2,3,24042,9,5
OR,2,2,16750,6,4
NOT,4,2,22745,5,7
NOT,5,4,24307,7,6
NAND,1,2,16086,5,9
XOR,3,2,17326,7,9
NOT,1,1,22898,8,9
OR,4,2,24760,7,9
NOT,4,3,21164,10,6
NAND,3,2,16009,5,4
NAND,1,1,19919,10,6
XOR,2,2,22012,6,5
NOT,5,3,23446,10,5
NAND,1,2,21727,6,8
OR,2,3,22625,6,5
NAND,1,3,15946,8,4
NAND,5,3,20515,10,8
OR,5,3,15378,7,6
NOT,1,1,15569,6,7
OR,5,3,18482,6,9
XOR,4,2,15849,9,4
NOT,4,1,22849,9,6
NAND,3,2,20191,6,7
AND,2,2,20733,10,3
NAND,1,2,22457,5,7
XOR,3,4,19397,8,5
OR,1,3,19761,6,9
XOR,3,4,19913,10,3
OR,4,3,24134,9,5
AND,5,3,16143,10,5
NOT,4,2,22206,6,4
NAND,1,4,15998,9,3
NOT,1,2,15696,7,5
NOT,4,3,16028,6,4
NAND,4,3,17596,8,4
NOT,1,2,21364,6,7
NOT,5,2,23976,6,6
AND,5,1,22456,6,8
NAND,1,3,23483,7,9
NOT,2,1,22266,5,6
NOT,5,4,19274,7,9
OR,4,3,22321,5,8
AND,3,2,17586,5,9
NAND,2,2,20489,10,9
XOR,4,4,19148,8,8
OR,2,2,21094,9,6
NOT,4,1,24604,10,7
NOT,3,4,19292,5,9
NOT,4,2,20539,10,4
OR,5,4,23499,9,7
AND,1,1,18892,8,6
AND,3,2,17538,6,7
NAND,1,3,20954,6,6
NAND,4,3,24923,6,3
NAND,1,1,16826,9,3
XOR,2,4,17565,8,7
NOT,4,3,20569,6,7
XOR,1,4,21427,5,5
XOR,5,1,20493,9,8
NAND,3,1,21298,5,7
OR,2,3,19729,9,5
AND,5,3,20875,5,9
OR,5,2,24827,6,3
OR,2,2,22529,7,3
XOR,2,4,21481,9,3
OR,1,1,17901,9,9
NOT,5,1,23996,8,9
AND,2,4,18510,8,5
NOT,3,1,20558,6,5
AND,4,2,18849,10,5
AND,4,2,17421,6,6
NAND,5,2,21068,6,8
NOT,1,1,23756,7,3
AND,1,4,23585,9,3
OR,1,3,15080,9,5
OR,3,4,23145,9,5
NOT,5,3,21105,9,3
OR,3,4,17406,9,7
NAND,4,1,17453,9,7
XOR,3,3,15329,6,4
AND,3,2,21655,9,9
OR,5,4,16120,9,4
AND,4,3,18169,7,7
AND,4,4,21649,5,7
XOR,4,4,23057,6,7
NOT,1,2,19888,10,8
XOR,2,2,16325,10,3
OR,2,2,24593,7,3
NOT,5,3,22129,10,9
NAND,4,3,15014,5,9
NAND,2,3,16487,5,9
NAND,5,3,15647,9,6
OR,1,2,19330,7,6
NAND,5,3,21904,9,9
NAND,2,3,18136,10,3
NOT,3,1,21288,5,7
NOT,3,4,19547,5,5
NAND,3,4,21092,7,9
NAND,5,2,16940,8,3
XOR,2,1,17790,6,5
NAND,1,2,22474,6,7
NOT,1,4,22388,8,5
AND,2,1,15108,5,6
OR,2,3,17318,10,7
NOT,1,1,24593,8,4
OR,3,3,24604,5,8
